review,hotel#general,hotel#prices,hotel#design&features,hotel#cleanliness,hotel#comfort,hotel#quality,hotel#miscellaneous,rooms#general,rooms#prices,rooms#design&features,rooms#cleanliness,rooms#comfort,rooms#quality,rooms#miscellaneous,room_amenities#general,room_amenities#prices,room_amenities#design&features,room_amenities#cleanliness,room_amenities#comfort,room_amenities#quality,room_amenities#miscellaneous,facilities#general,facilities#prices,facilities#design&features,facilities#cleanliness,facilities#comfort,facilities#quality,facilities#miscellaneous,service#general,location#general,food&drinks#prices,food&drinks#quality,food&drinks#style&options,food&drinks#miscellaneous
"Đồ ăn ngon,  không gian đẹp, view đẹp. Gia đình mình hom nay tới dùng buffet tối. Rất hài lòng cách phục vụ của các bạn, rất chuyên nghiệp, được đào tạo kĩ lưỡng, nhiệt tình. Cảm ơn bạn Mai Quyên rất nhiều. Gia đình mình rất vui vẻ và sẽ trở lại trong thời gian sớm nhất.",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Hôm nay có buổi đi chơi vui vẻ với bạn bè khi có thể nhấn nháp ly rượu vang và bia rất ngon, sau đó chơi những trò chơi với sự support rất nhiệt tình từ bạn Vũ và Những, thật sự have fun và chắc chắn sẽ có lần sau",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Buffet đa dạng các món từ Âu đến Á. Hải sản tươi, được đầu bếp chế biến nhiều món rất hợp khẩu vị: tôm rang muối, Tôm hùm phô mai... . Món tráng miệng nào cũng ngon. Nhà hàng có khu vực riêng cho các bé nhỏ chơi, mình rất thích, rất phù hợp cho các buổi họp mặt gia đình có nhiều thành viên nhỏ. Nhân viên dễ thương và nhiệt tình lắm. Sẽ vẫn chọn Windsor cho những buổi tiệc gia đình và bạn bè...",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
"Gia đình chúng tôi đã ăn tại nhà hàng Black Vinegar ngày 21/12 nhân dịp sinh nhật con trai tôi. Nhà hàng rất đẹp và sang trọng, đồ ăn ngon vừa miệng, nhân viên còn hát chúc mừng sinh nhật rất hay. Tôi rất ấn tượng với nhà hàng và cả nhân viên, đặc biệt là các bạn Trúc, Châu, Duyên, Cang.",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Nhà hàng ăn ngon, đầy đủ các món hải sản, giá cả phải chăng, nên trải nghiệm. Nhân viên phục vụ siêu đáng yêu và nhiệt tình !!!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
"Cách bày trí các món ăn thật hấp dẫn , dù bạn ăn chay hay ăn mặn thì với vài trăm món ăn tại Sài Gòn Cà Phê luôn làm bạn hài lòng ..Gia đình tôi , nhất là những đứa trẻ ,rất yêu thích nhân viên Nhà hàng và yêu thích các món ăn tại đây ... cảm ơn các bạn đã phục vụ rất tốt",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"Vị trí đẹp ở quận một, bạn có thể đi bộ đến rất nhiều thứ. Các bữa ăn sáng là ok.Giường là dễ chịu. Kích thước phòng là ổn và đủ cho nhu cầu của tôi.Nhìn chung, sẽ ở lại đây một lần nữa nếu ở thành phố Hồ Chí Minh.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Tôi đã đếndaay nhiều lần rồi và được bạn bè giới thiệu qua đây, hồ bơi rất đẹp thấy được view thành phố Bạn Nicky rất dễ thương và phục vụ tôi khá chu đáo",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"Chúng tôi ở khách sạn hai ngày 1 đêm nhân viên phục vụ rất nhiệt tình, nhà hàng ăn sáng rất ngon các bạn nhân viên phục vụ rất tốt nhất là bạn Phúc, Vũ , Nhung không gian rất thoáng mát thoải mái, chúng tôi sẽ quay lại",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Khách sạn New World Saigon mang lại trải nghiệm rất tốt cho gia đình mình. Nhân viên thân thiện, nhẹ nhàng, luôn nhiệt tình hỗ trợ khách. Chị Annie luôn take care khách cẩn thận. Đồ ăn ngon, hợp khẩu vị với gia đình mình. Phòng khách sạn rộng rãi, đẹp, sạch sẽ. Một điểm cộng rất lớn cho New World là khách sạn ở vị trí rất trung tâm, đi chơi và tham quan cực kỳ thuận tiện.",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"Gia đình tôi ở khách sạn Âu Lạc trong dịp nghỉ này và cảm thấy rất hài lòng về phòng ốc cũng như sự phục vụ tận tình của nhân viên ở đây, bữa sáng ngon, và đặc biệt là cô bé lễ tân Vy và anh chàng Bell man tên Khoa. Đã giúp đỡ tôi rất nhiều và họ thật thân thiện. Cảm ơn Âu Lạc",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"đồ ăn phong phú nhiều sự lựa chọn, rất ngon.Spa rất tốt, chuyên nghiệp.Các bạn nhân viên rất nice nhiệt tình, hỗ trợ nhanh.Phòng đẹp, view toàn thành phố rất đẹp.Không có gì để chê.Ở đây là best ở hcm rồi.",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
"Hôm nay mình đi ăn tại Parkview, từ không gian tới đồ ăn và cách phục vụ của nhân viên đều tuyệt vời. Các anh chị phục vụ thân thiện, cảm ơn chị Hương và Liên đã nhiệt tình và chu đáo take care cho bàn của mình. View đẹp, chỗ ngồi thoáng dễ chịu. Rất đề xuất, có dịp mình sẽ quay lại.",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Mình ở tầng 11, Phòng view đẹp và rất thoải mái. Ngoài ra mỗi phòng sẽ có hoa quả tráng miệng, cách trang trí trời ơi dễ thương k muốn ăn luôn. Nhân viên phục vụ nhiệt tình, chu đáo Tuy nhiên nhóm mình vào khá đông nên thủ tục check-in hơi mất thời gian một chút ạ.",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"tôi cảm thấy rất hài lòng về chất lượng phục vụ cũng như là cơ sở vật chất cực kì chất lượng của khách sạn, ngoài ra còn có thêm những khu vực trang trí phục vụ cho du khách chụp hình, tôi cảm thấy đây là nơi đáng để du khách ghé qua",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"Cảm thấy thoải mái như ở nhà khi tôi có một chuyến công tác tại thành phố Hồ Chí Minh. Trong khách sạn này, nó có một nhà hàng Trung Quốc rất ngon như Dimsum, Noodle, v.v ... Tóm lại, nó rất tốt để ở ngay cả khi đi công tác hay đi nghỉ, v.v.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Dịch vụ Bellman tại khách sạn La Vela thật sự ấn tượng. Nhân viên nhiệt tình, thân thiện và luôn sẵn sàng hỗ trợ khách ngay từ lúc vừa bước xuống xe, nhất là bạn Tuấn đã hỗ trợ rất nhiệt tình cho gia đình tôi. Họ xử lý hành lý nhanh chóng, chuyên nghiệp và luôn nở nụ cười niềm nở. Sự tận tâm của đội ngũ Bellman góp phần tạo nên trải nghiệm lưu trú dễ chịu và đáng nhớ tại La Vela.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Khách sạn hiện đại, đẹp, nội thất đẹp, nhất là toilet tách riêng bồn tắm! Nhân viên thân thiện, nhiệt tình, chu đáo... Lounge, Business center tuyệt vời... Hồ bơi sạch đẹp nhưng thiết kế không đặc sắc, đơn giản!",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Trải nghiệm lần này khá tốt và bữa sáng rất ngon😋 Đi mua sắm không quá xa và giao thông rất thuận tiện. Good good good 😀😀😀😀😀Trải nghiệm lần này khá tốt và bữa sáng rất ngon😋 Đi mua sắm không quá xa và giao thông rất thuận tiện. Good good good 😀😀😀😀😀,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0
"không gian đẹp, sạch sẽ, thoáng mát, phụ vụ thân thiện vui vẻ, nhiệt tình đặc biệt cảm ơn team banquet các bạn Tính, Phương, Trâm, Vinh, Khương, Nhật có view sông Sài gòn rất đẹpmón ăn phục vụ hợp khẩu vị",1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,1,0,0
"Mình đi với bạn đến lần đầu ở lounge Hilton Sai Gon, không gian rộng rãi. Cà phê và trà thơm , mình thích set bánh ngọt vì ăn vừa miệng. Cảm ơn bạn nhân viên Nami vì bạn chu đáo và quan tâm khách. Lần sau mình sẽ quay lại để trải nghiệm thêm nữa. Rất hài lòng về dịch vụ ở đây",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"được một lần trải nghiệm dịch vụ tại La Vela với khung gian thật sang trọng ấm cúng, lần đầu tôi được bơi trên hồ bơi vô cực với khung cảnh toàn thành phố mang đến cảm giác như đang trên trời, kèm theo đó là các bạn nhân viên rất thân thiện đặc biệt là bạn Long mặc vest",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Nhân viên khương , linh , vy  Dễ thương , thân thiện vui vẻ , nồng nhiệt với khách . Quan tâm tới khách hàng , trải nghiệm tuyệt vời thoải mái",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Đồ ăn ngon, phục vụ tốt nhất là bạn Vy bạn Hân. Không gian sạch sẽ, đẹp, sang trọng. Các món ăn chè, kem khá ngon. Hải sản tươi. Nếu có cơ hội, tôi sẽ đưa gia đình cùng quay lại sử dụng bufffet ở đây.",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"Tôi có qua Sheraton Đồng Khởi để gặp đối tác và có vô tình để quên ví. Khách sạn đã xử lý rất tuyệt vời và chuyên nghiệp, rất kịp thời và bài bản. Tôi cảm thấy rất yên tâm nếu có ở lại Khách Sạn của các bạn. Rất cám ơn.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Việc đầu tiên cảm nhận được khi bước vào không gian sảnh chính, không khác gì những khách sạn 5* khác trong thành phố 🏙 , nhưng tôi thật sự thoải mái và gần gũi với phong cách cùng thái đô phục vụ của tất cả đội ngũ nhân viên khách sạn tại đây. Cảm giác như đang ở nhà mình với đầy đủ tiện nghi và dịch vụ . Thật sự hài lòng !!Chắc chắn sẽ quay lại đây nhiều lần cùng với gia đình !!!",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Nơi tổ chức tiệc sang trọng , vị trí dễ tìm , có view hướng ra sông và thành phố rất đẹpĐồ ăn được trang trí đẹp , đặc biệt rất ngon ( có 1 số món hơi cay đối với một số người trong bàn )Nhân viên phục vụ tận tình chu đáo , cảm ơn Thanh , Tính đã take care bàn mình rất tốt",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
"Không gian đẹp, sang trọng, phục vụ nhiệt tình, chu đáo, nhanh nhẹn đặc biệt là: Trâm, Mi, Thành, Phương, Vinh, Âu, Tính rất nhiệt tình sẽ quay lại ạ Khách sạn nằm ngay trung tâm rất dễ để di chuyển ..",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
